E/dalvikvmtm(  561): 767|1 |0004|Lthecouponsapp/coupon/LookupActivity;.onKeyDown|| if-ne| < 
E/dalvikvmtm(  561): 768|1 |000e|Lthecouponsapp/coupon/LookupActivity;.onKeyDown|| if-eqz| > 
E/dalvikvmtm(  561): 769|1 |0000|Lthecouponsapp/coupon/LookupActivity$MenuItemClickListener;.sliderSelection|| if-nez| < 
E/dalvikvmtm(  561): 770|1 |0008|Lthecouponsapp/coupon/LookupActivity;.buildSlider|| if-nez| < 
E/dalvikvmtm(  561): 771|1 |0012|Lthecouponsapp/coupon/LookupActivity;.buildSlider|| if-eqz| > 
E/dalvikvmtm(  561): 772|1 |0006|Lthecouponsapp/coupon/LookupActivity$ActionBarHelper;.setBackground|| if-eqz| > 
E/dalvikvmtm(  561): 773|1 |000e|Lthecouponsapp/coupon/LookupActivity;.onNewIntent|| if-eqz| > 
E/dalvikvmtm(  561): 774|1 |0114|Lthecouponsapp/coupon/LookupActivity;.onNewIntent|| if-eqz| > 
E/dalvikvmtm(  561): 775|1 |0126|Lthecouponsapp/coupon/LookupActivity;.onNewIntent|| if-eqz| > 
E/dalvikvmtm(  561): 776|1 |0132|Lthecouponsapp/coupon/LookupActivity;.onNewIntent|| if-eqz| > 
E/dalvikvmtm(  561): 777|1 |001d|Lthecouponsapp/coupon/LookupActivity;.refreshInfo|| if-gez| > 
E/dalvikvmtm(  561): 778|1 |00e3|Lthecouponsapp/coupon/LookupActivity;.refreshInfo|| if-nez| < 
E/dalvikvmtm(  561): 779|1 |001d|Lthecouponsapp/coupon/LookupActivity;.refreshInfo|| if-gez| > 
E/dalvikvmtm(  561): 780|1 |00e3|Lthecouponsapp/coupon/LookupActivity;.refreshInfo|| if-nez| < 
E/dalvikvmtm(  561): 781|1 |001d|Lthecouponsapp/coupon/LookupActivity;.refreshInfo|| if-gez| < 
E/dalvikvmtm(  561): 782|1 |0021|Lthecouponsapp/coupon/LookupActivity;.refreshInfo|| if-eqz| > 
E/dalvikvmtm(  561): 784|1 |0021|Lthecouponsapp/coupon/LookupActivity;.showHelpOnFirstLaunch|| if-gez| > 
E/dalvikvmtm(  561): 785|1 |01cf|Lthecouponsapp/coupon/LookupActivity;.showHelpOnFirstLaunch|| if-nez| < 
E/dalvikvmtm(  561): 786|1 |0021|Lthecouponsapp/coupon/LookupActivity;.showHelpOnFirstLaunch|| if-gez| > 
E/dalvikvmtm(  561): 787|1 |01cf|Lthecouponsapp/coupon/LookupActivity;.showHelpOnFirstLaunch|| if-nez| < 
E/dalvikvmtm(  561): 788|1 |0021|Lthecouponsapp/coupon/LookupActivity;.showHelpOnFirstLaunch|| if-gez| < 
E/dalvikvmtm(  561): 789|1 |0025|Lthecouponsapp/coupon/LookupActivity;.showHelpOnFirstLaunch|| if-eqz| > 
E/dalvikvmtm(  561): 790|1 |00c8|Lthecouponsapp/coupon/LookupActivity;.showHelpOnFirstLaunch|| if-le| > 
E/dalvikvmtm(  561): 791|1 |0022|Lthecouponsapp/coupon/LookupActivity;.getWebv|| if-eqz| < 
E/dalvikvmtm(  561): 792|1 |0007|Lthecouponsapp/coupon/GoogleAccountsWrapper;.getInstance|| if-ge| > 
E/dalvikvmtm(  561): 793|1 |000b|Lthecouponsapp/coupon/GoogleAccountsWrapper$EclairPlus;.initGMailAccount|| if-ge| < 
E/dalvikvmtm(  561): 794|1 |0008|Lthecouponsapp/coupon/LookupActivity;.getae|| if-eqz| > 
E/dalvikvmtm(  561): 795|1 |0131|Lthecouponsapp/coupon/LookupActivity;.getWebv|| if-nez| < 
E/dalvikvmtm(  561): 796|1 |0155|Lthecouponsapp/coupon/LookupActivity;.getWebv|| if-nez| < 
E/dalvikvmtm(  561): 797|1 |0163|Lthecouponsapp/coupon/LookupActivity;.getWebv|| if-eq| < 
E/dalvikvmtm(  561): 798|1 |016a|Lthecouponsapp/coupon/LookupActivity;.getWebv|| if-gtz| > 
E/dalvikvmtm(  561): 799|1 |0194|Lthecouponsapp/coupon/LookupActivity;.getWebv|| if-nez| < 
E/dalvikvmtm(  561): 803|1 |0200|Lthecouponsapp/coupon/LookupActivity;.getWebv|| if-eqz| > 
E/dalvikvmtm(  561): 808|1 |0011|Lthecouponsapp/coupon/LookupActivity;.onResume|| if-lez| > 
E/dalvikvmtm(  561): 809|1 |001b|Lthecouponsapp/coupon/LookupActivity;.onResume|| if-lez| > 
E/dalvikvmtm(  561): 810|1 |0043|Lthecouponsapp/coupon/LookupActivity;.onResume|| if-nez| > 
E/dalvikvmtm(  561): 811|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| < 
E/dalvikvmtm(  561): 812|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| > 
E/dalvikvmtm(  561): 813|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| > 
E/dalvikvmtm(  561): 814|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| > 
E/dalvikvmtm(  561): 815|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| > 
E/dalvikvmtm(  561): 816|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| < 
E/dalvikvmtm(  561): 817|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| < 
E/dalvikvmtm(  561): 818|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| < 
E/dalvikvmtm(  561): 819|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| < 
E/dalvikvmtm(  561): 820|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| < 
E/dalvikvmtm(  561): 821|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| < 
E/dalvikvmtm(  561): 824|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| < 
E/dalvikvmtm(  561): 825|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| > 
E/dalvikvmtm(  561): 826|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| > 
E/dalvikvmtm(  561): 827|1 |0002|Lthecouponsapp/coupon/ImageTextAdapter;.getView|| if-nez| > 
E/dalvikvmtm(  561): 831|1 |0006|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-nez| > 
E/dalvikvmtm(  561): 832|1 |000b|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-eqz| < 
E/dalvikvmtm(  561): 833|1 |000d|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-ge| < 
E/dalvikvmtm(  561): 834|1 |0015|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-ne| > 
E/dalvikvmtm(  561): 835|1 |0024|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-eqz| < 
E/dalvikvmtm(  561): 836|1 |0026|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-ne| > 
E/dalvikvmtm(  561): 856|1 |0006|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-nez| > 
E/dalvikvmtm(  561): 857|1 |000b|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-eqz| < 
E/dalvikvmtm(  561): 858|1 |000d|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-ge| < 
E/dalvikvmtm(  561): 859|1 |0015|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-ne| > 
E/dalvikvmtm(  561): 860|1 |0024|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-eqz| < 
E/dalvikvmtm(  561): 861|1 |0026|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-ne| > 
E/dalvikvmtm(  561): 894|1 |0006|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-nez| > 
E/dalvikvmtm(  561): 895|1 |000b|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-eqz| < 
E/dalvikvmtm(  561): 896|1 |000d|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-ge| < 
E/dalvikvmtm(  561): 897|1 |0015|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-ne| > 
E/dalvikvmtm(  561): 898|1 |0024|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-eqz| < 
E/dalvikvmtm(  561): 899|1 |0026|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-ne| > 
E/dalvikvmtm(  561): 900|1 |0006|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-nez| > 
E/dalvikvmtm(  561): 901|1 |000b|Lthecouponsapp/coupon/LookupActivity$2;.onProgressChanged|| if-eqz| < 
